death,injuries,property_large,property_medium,property_small,keyword,label
0,0,0,3,1,0.0434782608695652,0
0,3,1,1,0,0.0526315789473684,1
100,0,2,2,0,0.0784313725490196,3
0,0,0,1,0,0.0,0
0,2,1,1,0,0.0416666666666666,1
0,0,0,2,0,0.0,0
0,3,1,0,0,0.0454545454545454,1
3,0,1,2,0,0.0625,1
0,0,0,2,0,0.0,0
80,0,6,1,0,0.073170731707317,3
1,3,0,0,0,0.0,1
14,15,2,1,0,0.2,2
23,80,1,0,0,0.1304347826086956,3
0,0,0,0,0,0.0,0
0,0,0,0,0,0.0,0
25,12,1,1,0,0.0952380952380952,2
0,0,0,0,0,0.0,0
28,90,0,0,0,0.1111111111111111,3
0,0,2,1,0,0.0,0
8,10,1,1,0,0.0,2
0,42,4,1,0,0.0789473684210526,3
1,6,2,1,0,0.0,1
0,0,0,1,0,0.0,0
0,0,0,0,0,0.0,0
2,4,2,1,0,0.0571428571428571,1
4,0,1,0,0,0.08,1
0,0,0,1,0,0.0,0
60,90,1,0,0,0.0512820512820512,3
1,3,2,1,0,0.0,1
7,30,1,1,0,0.1052631578947368,2
0,0,2,0,0,0.0357142857142857,0
1,3,1,0,0,0.0,1
1,3,0,0,0,0.0476190476190476,1
60,0,5,1,0,0.0465116279069767,3
0,16,0,1,0,0.0454545454545454,2
4,12,3,0,0,0.16,2
6,11,1,2,0,0.0476190476190476,2
0,3,0,1,0,0.0,1
0,60,2,2,0,0.0789473684210526,3
0,2,0,1,0,0.0,1
77,90,5,1,0,0.0517241379310344,3
70,100,1,4,0,0.1052631578947368,3
80,0,0,6,0,0.037037037037037,3
57,80,4,0,0,0.0754716981132075,3
1,49,0,0,0,0.0416666666666666,2
4,15,2,1,0,0.05,2
0,0,1,0,0,0.0476190476190476,1
270,0,2,0,0,0.04,3
2,32,2,0,0,0.1052631578947368,2
0,14,0,0,0,0.1578947368421052,2
13,17,2,0,0,0.0454545454545454,2
70,0,1,1,0,0.0,3
0,120,0,0,0,0.06,3
80,0,2,1,0,0.075,3
80,120,1,1,0,0.0408163265306122,3
60,90,1,1,1,0.0425531914893617,3
5,12,1,1,0,0.0454545454545454,2
14,13,1,0,0,0.0,2
0,4,0,0,0,0.0,1
0,80,3,1,0,0.05,3
0,0,0,2,0,0.0,0
13,15,4,0,0,0.1052631578947368,2
6,0,1,1,0,0.0,1
1,5,0,0,0,0.0,1
0,4,1,0,1,0.0588235294117647,1
0,100,2,1,0,0.0869565217391304,3
6,10,2,0,0,0.0952380952380952,2
6,10,2,1,0,0.0526315789473684,2
1,3,1,3,0,0.0,1
14,13,1,3,0,0.0434782608695652,2
0,0,1,0,0,0.0,0
0,70,2,0,0,0.054054054054054,3
0,2,2,0,0,0.074074074074074,1
3,10,1,0,0,0.0454545454545454,2
0,0,1,2,0,0.0,0
3,14,0,0,0,0.0869565217391304,2
6,13,1,2,0,0.0434782608695652,2
75,110,1,0,0,0.0952380952380952,3
5,0,1,2,0,0.0416666666666666,2
1,2,4,0,0,0.0,1
0,80,2,0,0,0.072463768115942,3
70,0,3,0,0,0.1860465116279069,3
0,2,1,2,0,0.0,1
0,0,0,1,0,0.05,0
24,130,2,0,0,0.125,3
0,0,0,0,0,0.0,0
0,5,0,1,0,0.0666666666666666,1
0,2,1,1,0,0.04,1
0,0,1,0,1,0.0,0
28,0,10,0,0,0.024390243902439,3
0,0,0,0,0,0.0,0
0,5,0,1,0,0.0952380952380952,1
70,0,2,3,0,0.054054054054054,3
0,0,0,1,0,0.0,0
22,130,1,0,0,0.0769230769230769,3
6,10,0,0,0,0.0,2
2,0,0,2,6,0.05,1
0,2,0,1,0,0.0526315789473684,1
0,2,1,1,0,0.0769230769230769,1
1068,100,2,1,0,0.0727272727272727,3
60,0,3,0,0,0.0303030303030303,3
0,3,2,1,0,0.064516129032258,1
0,0,0,1,0,0.0,0
0,0,0,3,0,0.0,0
0,2,2,0,0,0.0454545454545454,1
17,11,0,0,0,0.2,2
12,18,1,1,0,0.1578947368421052,2
60,30,0,0,0,0.088235294117647,3
14,14,1,0,0,0.05,2
0,0,0,2,0,0.0,0
0,3,3,2,0,0.0384615384615384,1
0,6,1,0,0,0.0,1
2,16,0,1,0,0.0869565217391304,2
0,0,0,2,1,0.0,0
50,0,1,5,0,0.0526315789473684,3
5,12,1,2,0,0.1111111111111111,2
70,0,1,0,0,0.0416666666666666,3
1,5,0,4,0,0.1388888888888889,1
0,0,0,0,0,0.0,0
4,13,2,1,0,0.0909090909090909,2
1,2,1,1,0,0.0384615384615384,1
0,0,0,1,0,0.0,0
57,30,1,1,0,0.0714285714285714,3
0,280,2,1,0,0.0344827586206896,3
0,100,1,3,0,0.0,3
320,0,3,2,0,0.0,3
13,16,0,2,0,0.0952380952380952,2
1,4,0,0,0,0.0952380952380952,1
4,13,1,2,0,0.0526315789473684,2
13,15,0,1,0,0.08,2
60,0,0,2,0,0.0857142857142857,3
0,0,1,0,0,0.0,0
1,4,2,0,0,0.0,1
1,4,0,2,0,0.0,1
5,11,1,0,0,0.1904761904761904,2
0,0,0,3,0,0.0,0
1,17,0,3,0,0.0434782608695652,2
20,30,3,1,0,0.081081081081081,3
1,2,1,1,0,0.0,1
2,18,2,2,0,0.0909090909090909,2
0,5,1,2,0,0.1,1
0,4,1,0,0,0.0384615384615384,1
53,70,2,1,0,0.0169491525423728,3
0,50,2,2,0,0.1388888888888889,3
4,0,1,2,0,0.0,1
3,16,1,5,0,0.0357142857142857,2
0,0,0,2,1,0.0,0
150,0,1,0,0,0.0454545454545454,3
80,0,0,2,0,0.1052631578947368,3
0,2,1,0,0,0.0714285714285714,1
4,25,2,1,0,0.0952380952380952,2
2,36,1,2,0,0.1428571428571428,2
0,3,2,0,0,0.0,1
29,80,3,0,0,0.0769230769230769,3
50,100,2,2,0,0.0925925925925925,3
0,0,0,0,0,0.0,0
13,14,1,0,0,0.125,2
7,10,0,0,0,0.1904761904761904,2
0,2,0,0,0,0.0625,1
0,0,0,0,0,0.0555555555555555,0
0,4,1,0,0,0.0555555555555555,1
65,100,2,0,0,0.1,3
6,11,3,0,0,0.1904761904761904,2
0,5,0,0,0,0.0476190476190476,1
0,3,2,2,0,0.125,1
0,0,1,2,0,0.0,0
29,35,1,0,0,0.0465116279069767,3
60,0,5,3,0,0.0789473684210526,3
0,0,1,1,0,0.0,0
0,5,0,1,0,0.08,1
0,5,0,0,0,0.074074074074074,1
0,0,0,2,0,0.0,0
5,12,1,2,0,0.0,2
5,10,2,0,0,0.1052631578947368,2
13,17,1,0,0,0.1,2
12,17,1,2,0,0.0909090909090909,2
0,0,0,2,0,0.0,0
21,19,1,2,0,0.0625,2
2,17,1,2,0,0.0625,2
5,10,2,0,0,0.0909090909090909,2
16,10,0,1,0,0.074074074074074,2
0,3,0,2,0,0.0526315789473684,1
0,4,2,1,0,0.0833333333333333,1
80,35,1,0,0,0.0967741935483871,3
0,0,0,0,0,0.0,0
17,9,2,0,0,0.125,2
0,65,1,5,0,0.1142857142857142,3
